"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1		"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
1248.176	0.111791	1385.178	0.111882	1426.8	0.112435	1420.083	0.114931	1404.455	0.112021	1415.851	0.116507	1424.319	0.113779	1422.967	0.114935	1408.896	0.114062	1404.798	0.11606		751.824	0.111791	614.822	0.111882	573.2	0.112435	579.917	0.114931	595.545	0.112021	584.149	0.116507	575.681	0.113779	577.033	0.114935	591.104	0.114062	595.202	0.11606
1236.887	0.112305	1364.976	0.113239	1427.759	0.1125	1421.771	0.116948	1410.201	0.113346	1414.226	0.11704	1426.401	0.11461	1424.921	0.116637	1415.756	0.115369	1408.172	0.116667		763.113	0.112305	635.024	0.113239	572.241	0.1125	578.229	0.116948	589.799	0.113346	585.774	0.11704	573.599	0.11461	575.079	0.116637	584.244	0.115369	591.828	0.116667
1202.635	0.113898	1351.698	0.114113	1427.085	0.112598	1422.179	0.117252	1410.21	0.114013	1410.421	0.11889	1426.927	0.114863	1421.85	0.118013	1417.141	0.115625	1411.293	0.117459		797.365	0.113898	648.302	0.114113	572.915	0.112598	577.821	0.117252	589.79	0.114013	589.579	0.11889	573.073	0.114863	578.15	0.118013	582.859	0.115625	588.707	0.117459
1188.926	0.114518	1343.901	0.114587	1415.77	0.114884	1419.363	0.117544	1411.009	0.115194	1409.379	0.119413	1425.992	0.115495	1419.157	0.118878	1417.889	0.115851	1415.946	0.11875		811.074	0.114518	656.099	0.114587	584.23	0.114884	580.637	0.117544	588.991	0.115194	590.621	0.119413	574.008	0.115495	580.843	0.118878	582.111	0.115851	584.054	0.11875
1184.493	0.114725	1313.278	0.116281	1402.814	0.115829	1402.777	0.11912	1413.386	0.116741	1408.996	0.119643	1423.761	0.116758	1411.994	0.120442	1421.509	0.117188	1416.709	0.119721		815.507	0.114725	686.722	0.116281	597.186	0.115829	597.223	0.11912	586.614	0.116741	591.004	0.119643	576.239	0.116758	588.006	0.120442	578.491	0.117188	583.291	0.119721
1155.067	0.116057	1305.085	0.116734	1395.771	0.116281	1380.331	0.120663	1415.212	0.11742	1404.62	0.121979	1419.599	0.11767	1409.515	0.120995	1421.619	0.117953	1417.204	0.120411		844.933	0.116057	694.915	0.116734	604.229	0.116281	619.669	0.120663	584.788	0.11742	595.38	0.121979	580.401	0.11767	590.485	0.120995	578.381	0.117953	582.796	0.120411
1138.535	0.116852	1303.59	0.116811	1387.228	0.116806	1374.16	0.121092	1415.549	0.117765	1394.267	0.1238	1415.566	0.118544	1407.854	0.121377	1421.188	0.11875	1410.684	0.123005		861.465	0.116852	696.41	0.116811	612.772	0.116806	625.84	0.121092	584.451	0.117765	605.733	0.1238	584.434	0.118544	592.146	0.121377	578.812	0.11875	589.316	0.123005
1109.063	0.118331	1301.804	0.116899	1364.831	0.118161	1361.119	0.12199	1410.948	0.119495	1389.91	0.12454	1413.386	0.119019	1400.904	0.123047	1418.043	0.120055	1410.49	0.123074		890.937	0.118331	698.196	0.116899	635.169	0.118161	638.881	0.12199	589.052	0.119495	610.09	0.12454	586.614	0.119019	599.096	0.123047	581.957	0.120055	589.51	0.123074
1089.923	0.119435	1272.206	0.118327	1344.111	0.119418	1339.725	0.123444	1409.328	0.120314	1384.964	0.125036	1407.461	0.120631	1395.143	0.124917	1416.721	0.120465	1404.042	0.12465		910.077	0.119435	727.794	0.118327	655.889	0.119418	660.275	0.123444	590.672	0.120314	615.036	0.125036	592.539	0.120631	604.857	0.124917	583.279	0.120465	595.958	0.12465
1058.577	0.121371	1234.291	0.120269	1337.156	0.119823	1323.496	0.124572	1407.902	0.120553	1358.423	0.127889	1402.451	0.121875	1394.874	0.125	1410.273	0.122129	1397.623	0.126339		941.423	0.121371	765.709	0.120269	662.844	0.119823	676.504	0.124572	592.098	0.120553	641.577	0.127889	597.549	0.121875	605.126	0.125	589.727	0.122129	602.377	0.126339
