x position	heat_tr	normalised		position	dT/dy	normalised dT/dy		position	temp	normalised		x	Stanton	Plotted stanton	normalised		x	temp	normalised
0.122001	259.612	0.15483971		0.137023	-166148	-0.6616727		0.122001	1497.33	0.966025587		0.12	-0.000870971	0.000870971	0.090097341		0.117001	306.491	0.103737605
0.123001	262.261	0.156419646		0.138023	-168512	-0.671087163		0.123001	1496.74	0.96564494		0.121	-0.000876568	0.000876568	0.090676322		0.118001	306.508	0.104061785
0.124001	264.965	0.158032386		0.139024	-170796	-0.680183032		0.124001	1496.16	0.965270744		0.122	-0.000881266	0.000881266	0.091162305		0.119001	306.523	0.104347826
0.125001	267.723	0.159677333		0.140025	-173010	-0.689000131		0.125001	1495.59	0.964902999		0.123	-0.000885125	0.000885125	0.091561498		0.120001	306.535	0.104576659
0.126001	270.517	0.161343751		0.141026	-175170	-0.697602179		0.126001	1495.03	0.964541707		0.124	-0.000888271	0.000888271	0.091886935		0.121001	306.545	0.104767353
0.127002	273.319	0.163014941		0.142027	-177280	-0.706005105		0.127002	1494.47	0.964180414		0.125	-0.000890863	0.000890863	0.092155064		0.122001	306.552	0.104900839
0.128002	276.114	0.164681955		0.143027	-179324	-0.714145191		0.128002	1493.91	0.963819121		0.126	-0.000893073	0.000893073	0.092383676		0.123001	306.557	0.104996186
0.129002	278.905	0.166346584		0.144028	-181284	-0.721950753		0.129002	1493.36	0.96346428		0.127	-0.000895077	0.000895077	0.09259098		0.124001	306.561	0.105072464
0.130002	281.705	0.168016581		0.145029	-183167	-0.729449668		0.130002	1492.82	0.963115891		0.128	-0.000897049	0.000897049	0.092794973		0.125001	306.564	0.105129672
0.131002	284.557	0.169717592		0.14603	-185014	-0.736805215		0.131002	1492.29	0.962773953		0.129	-0.000899154	0.000899154	0.093012724		0.126001	306.567	0.10518688
0.132002	287.594	0.171528942		0.147031	-186867	-0.744184657		0.132002	1491.75	0.962425564		0.13	-0.000901508	0.000901508	0.093256233		0.127002	306.57	0.105244088
0.133002	293.482	0.175040706		0.148032	-188751	-0.751687555		0.133002	1491.16	0.962044916		0.131	-0.000904365	0.000904365	0.093551774		0.128002	306.575	0.105339436
0.134002	298.146	0.177822444		0.149032	-190660	-0.759290012		0.134002	1490.67	0.961728785		0.132	-0.000907564	0.000907564	0.093882694		0.129002	306.581	0.105453852
0.135002	298.94	0.178296007		0.150033	-192567	-0.766884506		0.135002	1490.26	0.961464268		0.133	-0.000912262	0.000912262	0.094368677		0.130002	306.589	0.105606407
0.136002	300.691	0.179340351		0.151034	-194434	-0.774319701		0.136002	1489.83	0.961186846		0.134	-0.000914769	0.000914769	0.094628013		0.131002	306.599	0.105797101
0.137002	302.975	0.180702591		0.152035	-196229	-0.781468162		0.137002	1489.39	0.960902974		0.135	-0.000915499	0.000915499	0.094703527		0.132002	306.611	0.106025934
0.138002	305.54	0.182232428		0.153036	-197933	-0.788254222		0.138002	1488.94	0.960612649		0.136	-0.000917967	0.000917967	0.094958829		0.133002	306.629	0.106369184
0.139002	308.253	0.183850535		0.154037	-199547	-0.794681864		0.139002	1488.5	0.960328776		0.137	-0.00092024	0.00092024	0.095193959		0.134002	306.582	0.105472921
0.140002	311.033	0.185508603		0.155038	-201089	-0.80082277		0.140002	1488.06	0.960044904		0.138	-0.000922512	0.000922512	0.095428985		0.135002	306.584	0.10551106
0.141003	313.817	0.187169057		0.156039	-202583	-0.80677252		0.141003	1487.62	0.959761031		0.139	-0.000924766	0.000924766	0.09566215		0.136002	306.591	0.105644546
0.142003	316.567	0.188809233		0.15704	-204059	-0.812650586		0.142003	1487.19	0.95948361		0.14	-0.000926977	0.000926977	0.095890866		0.137002	306.598	0.105778032
0.143003	319.295	0.190436287		0.158041	-205533	-0.818520687		0.143003	1486.78	0.959219092		0.141	-0.00092916	0.00092916	0.096116686		0.138002	306.605	0.105911518
0.144003	322.041	0.192074076		0.159042	-207007	-0.824390788		0.144003	1486.37	0.958954574		0.142	-0.000931359	0.000931359	0.096344161		0.139002	306.612	0.106045004
0.145003	324.83	0.193737512		0.160043	-208471	-0.830221065		0.145003	1485.97	0.958696508		0.143	-0.000933633	0.000933633	0.096579394		0.140002	306.619	0.10617849
0.146003	327.643	0.195415263		0.161044	-209913	-0.835963728		0.146003	1485.58	0.958444893		0.144	-0.000936044	0.000936044	0.096828799		0.141003	306.626	0.106311976
0.147003	330.434	0.197079891		0.162045	-211328	-0.841598866		0.147003	1485.19	0.958193279		0.145	-0.000938646	0.000938646	0.097097962		0.142003	306.634	0.106464531
0.148003	333.155	0.19870277		0.163046	-212724	-0.847158337		0.148003	1484.8	0.957941664		0.146	-0.000941456	0.000941456	0.097388642		0.143003	306.642	0.106617086
0.149003	335.778	0.200267199		0.164047	-214106	-0.852662055		0.149003	1484.44	0.957709405		0.147	-0.000944445	0.000944445	0.097697838		0.144003	306.65	0.106769641
0.150003	338.302	0.201772582		0.165048	-215483	-0.85814586		0.150003	1484.1	0.957490048		0.148	-0.000947527	0.000947527	0.098016655		0.145003	306.659	0.106941266
0.151003	340.747	0.203230847		0.166049	-216862	-0.863637631		0.151003	1483.79	0.957290047		0.149	-0.000950585	0.000950585	0.098332989		0.146003	306.669	0.10713196
0.152003	343.148	0.204662869		0.16705	-218254	-0.869181173		0.152003	1483.5	0.957102949		0.15	-0.000953497	0.000953497	0.09863422		0.147003	306.678	0.107303585
0.153004	345.539	0.206088927		0.168051	-219665	-0.874800381		0.153004	1483.24	0.956935206		0.151	-0.000956167	0.000956167	0.098910417		0.148003	306.687	0.10747521
